slot,id,time,rate [ct./kWh],energy [kWh],seller,buyer
2018-08-14T14:30:00+02:00,74c0744e-e319-4015-bc8e-e4f7602c3be9,2018-08-14T14:30:00+02:00,30.3,0.025,IAA House 5,IAA House 3
2018-08-14T14:30:00+02:00,a6fda3ad-1aa2-48d9-bae1-b088fe8d3ed5,2018-08-14T14:30:00+02:00,30.3,0.0006999999999999992,IAA House 3,IAA House 2
2018-08-14T14:30:00+02:00,b82ca8db-3c67-4a1a-a209-fadf9c968d7e,2018-08-14T14:30:00+02:00,30.3,0.0006999999999999992,IAA House 5,IAA House 2
2018-08-14T14:30:00+02:00,03e34bed-b4ea-4f57-a412-a30ff5bdc504,2018-08-14T14:30:15+02:00,30.3,0.024300000000000002,IAA House 4,IAA House 3
2018-08-14T14:30:00+02:00,7ec7a481-69ce-42c5-9dfa-2c539514115b,2018-08-14T14:30:15+02:00,30.3,0.024300000000000002,IAA House 4,IAA House 2
2018-08-14T14:45:00+02:00,d907f07d-8585-47b8-b797-5421ec6dc080,2018-08-14T14:45:00+02:00,30.3,0.025,IAA House 4,IAA House 2
2018-08-14T14:45:00+02:00,cafd4d5c-6808-4ace-946a-3ab7ed8d8615,2018-08-14T14:45:00+02:00,30.3,0.0229,IAA House 3,IAA House 2
2018-08-14T14:45:00+02:00,6d32ee82-113f-4b3b-8b95-abc1e055c93e,2018-08-14T14:45:00+02:00,30.3,0.0229,IAA House 5,IAA House 3
2018-08-14T14:45:00+02:00,3785eef7-a21c-4b6a-af75-8975ceb96f33,2018-08-14T14:45:00+02:00,30.3,0.025,IAA House 4,IAA House 3
2018-08-14T14:45:00+02:00,8a6c6870-e96d-4eb1-868a-f84ed57f3500,2018-08-14T14:45:00+02:00,30.3,0.018699999999999994,IAA House 4,Cell Tower
2018-08-14T14:45:00+02:00,4e37f30b-7997-451c-b669-b1438defa290,2018-08-14T14:45:15+02:00,30.3,0.006300000000000004,IAA House 4,Cell Tower
2018-08-14T15:00:00+02:00,e15cef8d-9175-446a-bad2-658fa5202159,2018-08-14T15:00:00+02:00,30.3,0.0202,IAA House 3,Cell Tower
2018-08-14T15:00:00+02:00,32f120e5-9cea-4596-9c32-2d9ae0e15038,2018-08-14T15:00:00+02:00,30.3,0.0202,IAA House 5,IAA House 3
2018-08-14T15:00:00+02:00,9d5257e7-b4cc-4ab3-8d81-31a8cafd1b63,2018-08-14T15:00:00+02:00,30.3,0.025,IAA House 4,IAA House 3
2018-08-14T15:00:00+02:00,c0ede587-6e62-47f7-8ac7-6bed07f98d10,2018-08-14T15:00:00+02:00,30.3,0.025,IAA House 4,IAA House 2
2018-08-14T15:00:00+02:00,e00e85cf-584d-4484-9f4f-858b5d21cb1e,2018-08-14T15:00:15+02:00,30.3,0.0048000000000000004,IAA House 4,Cell Tower
